instruction,context,response,category
List the weapons of Goddess Durga in a comma separated manner.,"Durga is a warrior goddess, and she is depicted to express her martial skills. Her iconography typically resonates with these attributes, where she rides a lion or a tiger, has between eight and eighteen hands, each holding a weapon to destroy and create. She is often shown in the midst of her war with Mahishasura, the buffalo demon, at the time she victoriously kills the demonic force. Her icon shows her in action, yet her face is calm and serene. In Hindu arts, this tranquil attribute of Durga's face is traditionally derived from the belief that she is protective and violent not because of her hatred, egotism or getting pleasure in violence, but because she acts out of necessity, for the love of the good, for liberation of those who depend on her, and a mark of the beginning of soul's journey to creative freedom.

Durga traditionally holds the weapons of various male gods of Hindu mythology, which they give her to fight the evil forces because they feel that she is shakti (energy, power). These include the chakra, conch, bow, arrow, sword, javelin, trishula, shield, and a noose. These weapons are considered symbolic by Shakta Hindus, representing self-discipline, selfless service to others, self-examination, prayer, devotion, remembering her mantras, cheerfulness and meditation. Durga herself is viewed as the ""Self"" within and the divine mother of all creation. She has been revered by warriors, blessing their new weapons. Durga iconography has been flexible in the Hindu traditions, where for example some intellectuals place a pen or other writing implements in her hand since they consider their stylus as their weapon.","Chakra, conch, bow, arrow, sword, javelin, trishula, shield, a noose",information_extraction
What shapes are made up of straight lines?,,"Square, pentagon, rectangle, rhombus and triangle are examples of shapes made up only of straight lines.",brainstorming
"Choose the word which is different from the rest: hangar, platform, dock, park, bus stand",,All except park are places to await for transportation,classification
Are The Smiths a good band?,,"The Smiths were one of the most critically acclaimed bands to come from England in the 1980s. Typically classified as an ""indie rock"" band, the band released 4 albums from 1984 until their breakup in 1987. The band members, notably Morrissey and Johnny Marr, would go on to accomplish successful solo careers.",general_qa
What is an EV?,,EV stands for Electric Vehicle.  An electric vehicle is powered by a battery whereas the traditional vehicle or car is powered by gas.  The EV uses a type of electric motor as opposed to an internal combustion engine.  The EV battery can be charged by plugging into an electrical outlet.  EVs do not pollute the atmosphere.  They are eco-friendly.  Tesla Motors pioneered the EV industry.,general_qa
"Given a reference text about Run Towards the Danger, tell me how many essays are part of the collection.","Run Towards the Danger is a 2022 Canadian essay collection by Sarah Polley, a former child star, director, and screenwriter.

The six essays in the collection examine aspects of Polley's career on stage, screen, and on film detailing her roles in a Stratford Festival production of Alice Through the Looking Glass, as well as her breakout roles in The Adventures of Baron Munchausen and the TV series Road to Avonlea. The book also revealed for the first time that Polley had been a victim of Jian Ghomeshi who sexually and physically assaulted her when she was 16 and he was 28.",Six essays are part of the Run Towards the Danger essay collection.,closed_qa
Name 10 colors,,"Fuschia, magenta, orange, green, blue, red, yellow, chartreuse, aquamarine, sienna",brainstorming
What is game of Cricket?,"Cricket is a bat-and-ball game played between two teams of eleven players on a field at the centre of which is a 22-yard (20-metre) pitch with a wicket at each end, each comprising two bails balanced on three stumps. The batting side scores runs by striking the ball bowled at one of the wickets with the bat and then running between the wickets, while the bowling and fielding side tries to prevent this (by preventing the ball from leaving the field, and getting the ball to either wicket) and dismiss each batter (so they are ""out""). Means of dismissal include being bowled, when the ball hits the stumps and dislodges the bails, and by the fielding side either catching the ball after it is hit by the bat, but before it hits the ground, or hitting a wicket with the ball before a batter can cross the crease in front of the wicket. When ten batters have been dismissed, the innings ends and the teams swap roles. The game is adjudicated by two umpires, aided by a third umpire and match referee in international matches. They communicate with two off-field scorers who record the match's statistical information.","Cricket is a game played using a bat and a ball, with 11 players in each team. The surface in the centre of cricket filed is called Pitch which is 22 yards long. The batting starts with 2 player on the pitch, a batter and runner. Bowling side chooses a baller and rest of the 10 players are spread across the filed to catch the ball. Once ten batters from batting side are dismissed, the other sides gets opportunity to bat. The runs are scored by running between each end of the wicket and hitting the ball outside the boundary lines of the filed.",summarization
How much of American wine is produced in California?,,California is responsibly for roughly 90% of American wine production,open_qa
"As a golfer, how can I fix my slice?",,"A common swing fault in golfers is a slice which is caused when the face of the club isn't aligned properly to the swing path of the club.  What will typically happen is at the time of impact, the face is open in relation to the target (ie aimed to the right if you are a right handed golfer) and the swing path is closed in relation to the target (ie aimed to the left if you are a left handed golfer).  When there is a large difference between the path of the swing and the face of the club, the impact will generate a high degree of lateral spin on the ball causing the flight of the ball to curve away from the target.  Here are some ways to fix this swing fault:

1. Grip the club with a stronger grip.  This means the v formed between your thumb and pointer finger on back hand is pointed to your rear shoulder and your opposite hand it also gripping the club more from the back.  This will help you close the face of the club at impact.
2. Focus on keeping the face closed in the backswing.  One fault many amateurs have is the club face opens toward the sky on the backswing too far meaning that the face will need to turn more on the downswing to get to square at impact.  Creating less rotation on the backswing can help with this.  
3. Keeping hips down and back in the downswing.  One fault that can cause inconsistent contact as well as a slice is when the hips thrust forward during the downswing causing the golfer to lift up to counter being too close to the ball which can often cause an over the top, out-to-in swing path.  Try to keep the hips back through the swing and focus on rotating the body to keep forward or lateral movement to a minimum.  

A slice is a very common issue among golfers but knowing the causes and swing faults that lead to a slice can help you think about how you can improve your swing to fix it.",general_qa
Who tends to participates in hackathons?,"A hackathon (also known as a hack day, hackfest, datathon or codefest; a portmanteau of hacking and marathon) is an event where people engage in rapid and collaborative engineering over a relatively short period of time such as 24 or 48 hours. They are often run using agile software development practices, such as sprint-like design wherein computer programmers and others involved in software development, including graphic designers, interface designers, product managers, project managers, domain experts, and others collaborate intensively on engineering projects, such as software engineering.

The goal of a hackathon is to create functioning software or hardware by the end of the event. Hackathons tend to have a specific focus, which can include the programming language used, the operating system, an application, an API, or the subject and the demographic group of the programmers. In other cases, there is no restriction on the type of software being created or the design of the new system.","Computer programmers and others involved in software development, including graphic designers, interface designers, product managers, project managers, domain experts, and others tend to participate in hackathons.

They collaborate intensively on engineering projects, such as software engineering with the goal of creating functioning software or hardware by the end of the event.",closed_qa
Which community of users on Twitter has the most 8-dollar-a-month verification?,,"From my limited experience, it's the bitcoin bros who are the most willing to pay Elon Musk 8 dollars a month for the useless verification blue check mark. What a double whammy!",brainstorming
"Tell me whether these people are DJs or singers: David Guetta, Avicii, Rihanna, Beyonce, Martin Garrix, Calvin Harris, Taylor Swift",,"David Guetta: DJ
Avicii: DJ
Rihanna: Singer
Beyonce: Singer
Martin Garrix: DJ
Calvin Harris: DJ
Taylor Swift: Singer",classification
What’s a typical dish in Brazil?,,"Brazil has a wide variety of culinary options heavily based on meats, local fruits and fresh vegetables. One traditional dish is the “feijoada”, a black bean and sausage stew that is generally served with rice, yucca flower and oranges. Another popular dish is the so called “Picanha”, essentially the cap of the top sirloin.",general_qa
How should I invest my money?,,"There are many different ways to invest your money. You can leave it in a Saving account, high yield saving account, stock market, real estate, bonds, notes, Gold, Silver, Cryptocurrency and many other assets. Each of the asset classes comes with different levels of risk. A diverse portfolio has advantageous to a non-diverse portfolio.",general_qa
Where is the village of Congosto,"Congosto (Spanish pronunciation: [koŋˈɡosto]) is a village and municipality located in the region of El Bierzo (province of León, Castile and León, Spain) . It is located near to Ponferrada, the capital of the region. The village of Congosto has about 350 inhabitants.

Its economy was traditionally based on agriculture, wine and coal mining. Nowadays, most of the inhabitants work on the surrounding area on activities such as wind turbine manufacturing or coal mining.

Congosto also a large reservoir in its vicinity, the Barcena reservoir, to which many tourists visit during the summer.","Congosto is a village and municipality located in the region of El Bierzo (province of Leon, Castile and Leon, Spain). It is located near to Ponferrada, the capital of the region. The village of Congosto has about 350 inhabitants.

Its economy was traditionally based on agriculture, wine and coal mining. Nowadays, most of the inhabitants work on the surrounding area on activities such as wind turbine manufacturing or coal mining.

Congosto also a large reservoir in its vicinity, the Barcena reservoir, to which many tourists visit during the summer.",summarization
Name the three best professional sports teams based in California.,,"The best professional sports teams based in California are the Los Angeles Dodgers, the Golden State Warriors, and the San Francisco 49ers.",open_qa
What is Marketing Automation?,"Marketing Automation is a subset of customer relationship management (CRM) or customer experience management (CXM) that focuses on the definition, segmentation, scheduling and tracking of marketing campaigns. The use of marketing automation makes processes that would otherwise have been performed manually much more efficient and makes new processes possible. Marketing Automation can be defined as a process where technology is used to automate several repetitive tasks that are undertaken on a regular basis in a marketing campaign.

Marketing Automation platforms allow marketers to automate and simplify client communication by managing complex omnichannel marketing strategies from a single tool. Marketing Automation assists greatly in areas like Lead Generation, Segmentation, Lead nurturing and lead scoring, Relationship marketing, Cross-sell and upsell, Retention, Marketing ROI measurement. Effective marketing automation tools leverage data from a separate or integrated CRM to understand customer impact and preferences.","Marketing Automation is software that helps marketers to do create efficient online and offline campaigns. It's part of CRM suite and people usually integrate it with their salesforce application and marketing website. The Marketing Automation platform allows marketers to automate and simplify customer communication by managing multi communication channels. This includes personalized email, dynamic web pages, digital banners, social media and more. People use it for lead generation, segmentation and nurturing and lead scoring. Post-sales marketers also use Marketing Automation for cross-sell, upsell and retention marketing. In",closed_qa
What are some ways to improve the value of your home?,,"There are several things you do can to increase the value of your home. First, you can focus on what is known as ""curb appeal"", essentially making the outside and surrounding of your house attractive. Ensure that the landscaping is well maintained, fix any broken doors or windows, and painting the outside so that the house does not look dull. In the interior of your house, the best places to focus will be in your bathrooms and kitchen. Further, you can replace major appliances and components such as water heaters, furnaces, or the roof to increase the value. Another way to increase the value of your home is by making it bigger. Often, pricing for homes is done by looking at the area of the house, so by adding on new rooms or extra space, you can also increase the overall value of the house.",brainstorming
Tell me an idea for a film based off of the cartoon movie Cars but incorporate self-driving cars.,,"A self-driving car named Walter (voiced by Will Arnett) is stuck driving drunk passengers around San Francisco at all hours of the night trying to make ends meet. He frequently has pedestrians staring at him because he doesn't have a driver, kids drawing graffiti on him, and passengers giving him a bad review for being too cautious while driving.

Walter dreams of being a race car like the rich cars he sees on Tik Tok. They get to drive fast as Sonoma Raceway and race each other in front of stadiums full of people while Walter has to follow the 30mph speed limit on SF streets.

Walter finds out that the race car life isn't all it's cracked up to be, and realizes over time to be happy with what he has and that at least he isn't one of those ride-share vehicles that can't drive themselves around town.",creative_writing
Which American president spoke Dutch as their first language?,"Van Buren received a basic education at the village schoolhouse, and briefly studied Latin at the Kinderhook Academy and at Washington Seminary in Claverack. Van Buren was raised speaking primarily Dutch and learned English while attending school; he is the only president of the United States whose first language was not English. Also during his childhood, Van Buren learned at his father's inn how to interact with people from varied ethnic, income, and societal groups, which he used to his advantage as a political organizer. His formal education ended in 1796, when he began reading law at the office of Peter Silvester and his son Francis.",President Van Buren spoke Dutch as his first language. He is the only president of the United States of America who spoke English as a second language.,closed_qa
How many planets are there?,,"There are eight planets in our native solar system. We used to consider there to be nine, but then scientists decided that Pluto doesn't fit the requirements to be a planet. I don't really know what that is, but that's what they decided. Mercury is the closest planet to the sun, and doesn't really have an atmosphere. Venus is subject to a runaway greenhouse effect. Earth is where we live. Mars is red, and slightly smaller than Earth. We've recently found evidence of water there. The asteroid belt comes next, which isn't really a planet. Following the asteroid belt are the gas giants Jupiter, Saturn, and Uranus. They have rings. Neptune comes last. Other solar systems seem to have planets too - in fact this appears to be far more common than we would have thought.",general_qa
Help me come up with 3 ideas for a new business and how I can start it,,"There are many businesses you could think about creating. Here are a few examples:
- Services: you can create a firm that provides services such as marketing, technical consulting, or strategic advising. You can start this business by examining your professional expertise, building marketing materials, and networking to find your first customers.
- Product: you can create a product in a domain you're passionate about is a great way of starting a business. This could be small scale boutique items such as candles or soaps made at home and sold at local markets or on a website like Etsy. This could also include something mass manufactured, either contracted out or involving significant capital expenditure in order to start development.
- Training: you can start a training or education program in an industry where you have expertise. There are online platforms for hosting content and managing payments. You can also leverage social media in order to build a funnel of customers.
There are many different potential businesses you might create but services, product, and training businesses are good domains to examine as you look to start your business.",brainstorming
Tomb of Sand  was translated from Hindi to English by,,Daisy Rockwell,open_qa
"What is more important in society, freedom or safety?",,"In our society, freedom and safety are both valued. While many other countries may put safety first, the harsh reality for Americans is that freedom always comes before safety. Despite being equally important, Americans foolishly put their trust in freedom over safety, without realizing the dangers of those freedoms.
The 2nd Amendment is a commonly danger to freedom. Americans are allowed to own guns for self protection. However, since the 18th century, guns have changed. Instead of a rifle or shotgun, Americans own ARI5s and other guns that can fire hundreds of bullets per round. Security in America has also increased leaving people to question the need for a personal weapon.
Often a result of having the freedom to easily buy and keep guns is school shootings. Teens who are depressed, lonely, suicidal, or crazy can easily buy or ise their parents guns to shoot and will other students, teachers, or themselves. In late 2022, a six year old brought his father's hand gun to school and shot his teacher. Yes, the gun was licensed and own by the father but why should any US citizen or even person feel safe in this country when the 2nd Amendment exsits? Should anyone trust their freedoms when it is easier to buy a gun than a car?
On the flip side, America's freedom is a gift that many other countries don't give. In 2019 when covid-19 first immerged in China, the country. went on lockdown, and in some cities, still remains so. By the third year of the pandemic, Americans learned of the extreme measures the Chinese government had taken upon its citizens, arresting those who left their homes for any reason, in the worst case. While China's laid protocols were way too extreme, Americans over the pandemic chose their freedom to not wear a mask over the safety of themselves and others, again.
To be clear, freedom and safety are not opposites, and countries who manage both well are impressive to be sure. But Americans are unwilling, to a dangerous level, to let go of some or any of their freedoms, even if it will benefit the overall safety of America. Freedom, in America, is valued above all, and could arguably be our most identifiable trait.",creative_writing
"Given this reference text about the consumption of peanut butter, when is national peanut butter day?","The United States is a leading exporter of peanut butter, and one of the largest consumers of peanut butter annually per capita. January 24 is National Peanut Butter Day in the United States. In March 2020 during the COVID-19 pandemic, retail sales of peanut butter in the United States increased by 75% over the level in March 2019.

According to Jon Krampner's 2013 book on peanut butter, per capita consumption of peanut butter in Canada and the Netherlands – the largest consumer per capita in Europe – exceed that in the United States.

In Israel, the peanut-butter-flavored puffcorn snack Bamba accounts for 25% of the snack market; its consumption by infants has been linked to a low incidence of peanut allergies among Israelis.",National Peanut Butter Day takes place on January 24th in the United States.,closed_qa
What are good activities for two year old boys?,,"Two year old boys tend to be active, curious and social. Enjoyable activities for this age include going to the park, dancing to music, reading a book, and taking a walk around the neighborhood. Local community organizations also commonly plan activities for toddlers at places like libraries, schools and parks.",general_qa
How many compute services does Azure Synapse have?,,"Azure Synapse provides five different compute services:
1. Dedicated SQL Pools (previously known as ""Synapse Data Warehouse""), 
2. Serverless SQL Pools (i.e. a query service over the data lake), 
3. Data Explorer Pools (for real-time & time series processing),
4. Spark Pools (Microsoft's version of Spark), and
5. Pipelines (a variant of ADF)",open_qa
What does fasting mean?,"Fasting is the abstention from eating and sometimes drinking. From a purely physiological context, ""fasting"" may refer to the metabolic status of a person who has not eaten overnight (see ""Breakfast""), or to the metabolic state achieved after complete digestion and absorption of a meal. Metabolic changes in the fasting state begin after absorption of a meal (typically 3–5 hours after eating).",Fasting is the abstention from eating and sometimes drinking.,closed_qa
How many times Lewis Hamilton won the F1 Championship ?,,7 times,brainstorming
What happens when you bring flammable objects closer to a fire source or extreme heat?,,Flammable objects can become inflamed when placed on or near a fire source or extreme heat.  Its recommended to keep flammable objects far away from heat sources.,open_qa
Give me a list of the last five european golden boots winner And tell me how many goals they scored.,,"1. Robert Lewandowski, 2022-2021, 35 goals
2. Robert Lewandowski, 2021-2020, 41 goals
3. Ciro Immobile, 2020-2019, 36 goals
4. Lionel Messi, 2019-2018, 36 goals
5. Lionel Messi, 2018-2017, 34 goals",brainstorming
"Identify which instrument is string or percussion: Den-den daiko, Luc huyen cam",,"Luc huyen cam is string, Den-den daiko is percussion.",classification
"Pick if these would be useful or not useful for a high school student to put in their backpack. Notebooks, textbook, desk lamp, pencil pouch, beach ball, pillow, laptop.",,"Notebooks: useful, textbook: useful, desk lamp: not useful, pencil pouch: useful, beach ball: not useful, pillow: not useful, laptop: useful.",classification
What is the largest city on the Mississippi River?,"Memphis is the fifth-most populous city in the Southeast, the nation's 28th-largest overall, as well as the largest city bordering the Mississippi River and third largest Metropolitan statistical area behind Saint Louis, MO and the Twin Cities on the Mississippi River. The Memphis metropolitan area includes West Tennessee and the greater Mid-South region, which includes portions of neighboring Arkansas, Mississippi and the Missouri Bootheel. One of the more historic and culturally significant cities of the Southern United States, Memphis has a wide variety of landscapes and distinct neighborhoods.","Saint Louis, Missouri is the largest city on the Mississippi River. Twin Cities is the second largest city on the Mississippi River and Memphis is the third largest city on the Mississippi River.",information_extraction
What is the city of Denver like?,,"Denver is a big city, nestled directly to the east of the Rocky Mountains. Many people that live in Denver are educated and have a friendly attitude. It is a family friendly and dog friendly city, with many parks, recreational activities and a lot of green space/trails. With the abundance of green space, and 300 days of sunshine, Denver provides many opportunities to have an active lifestyle. Some of the most popular activities include hiking, biking, rock climbing and skiing.",general_qa
Provide a list of all numbers mentioned in the provided text and what they represent,"The ancestors of llamas are thought to have originated from the Great Plains of North America about 40 million years ago, and subsequently migrated to South America about three million years ago during the Great American Interchange. By the end of the last ice age (10,000–12,000 years ago), camelids were extinct in North America. As of 2007, there were over seven million llamas and alpacas in South America and over 158,000 llamas and 100,000 alpacas, descended from progenitors imported late in the 20th century, in the United States and Canada.

In Aymara mythology, llamas are important beings. The Heavenly Llama is said to drink water from the ocean and urinates as it rains. According to Aymara eschatology, llamas will return to the water springs and lagoons where they come from at the end of time.","40 million: The number of years ago when the ancestors of llamas are thought to have originated from the Great Plains of North America
three million: The number of years ago the ancestors of llamas are thought to have migrated to South America during the Great American Interchange
10,000–12,000: The number of years ago camelids were extinct in North America
2007: As of this year, there were over seven million llamas and alpacas in South America and over 158,000 llamas and 100,000 alpacas, descended from progenitors imported late in the 20th century, in the United States and Canada
seven million: The number of llamas and alpacas in South America as of 2007
158,000: The number of llamas in the United States and Canada, that descended from progenitors imported late in the 20th century, as of 2007
100,000: The number of alpacas in the United States and Canada, that descended from progenitors imported late in the 20th century, as of 2007
20: The century where progenitors were imported to United States and Canada",information_extraction
What are the differences between the New York Giants and New York Jets?,,"The New York Giants and New York Jets are both professional football teams in the NFL who play in the New York Metropolitan area. Both teams play in MetLife stadium which used to be called Giants stadium in East Rutherford, NJ. Their fan bases live in New Jersey and New York primarily. The Jets primary color is Green, while the Giants are blue.",open_qa
Was Furze Hill an established community in the 19th century?,"Furze Hill (or Furzehill) is a hamlet situated in the New Forest National Park of Hampshire, England. It is in the civil parish of Ellingham, Harbridge and Ibsley. Its nearest town is Fordingbridge, which lies approximately 3.1 miles (5.2 km) north-west from the hamlet.

Furze Hill is a hamlet in the civil parish of Hyde. It is situated on low ground on either side of Huckles Brook on the South Gorley to Ogdens road. The houses are surrounded by fields and paddocks. Additional houses can be found at the southern edge of Gorley Common lining a narrow track to North Gorley.

Furze Hill is the most recent settlement in the parish of Hyde, becoming an established community only in the 20th century.","No, it was not an established community until the 20th century.",closed_qa
Should you buy new golf clubs when you are a beginner?,,"It is recommended that you get custom fitted for your golf clubs.  However, there are many used golf clubs available to purchase and it can be a great option if you are just exploring the sport.  You can also consider renting golf clubs from your local golf course if you are not ready for the expense of buying new or used golf clubs.",brainstorming
Why should I use fabric softener?,"Machine washing puts great mechanical stress on textiles, particularly natural fibers such as cotton and wool. The fibers at the fabric surface are squashed and frayed, and this condition hardens while drying the laundry in air, giving the laundry a harsh feel. Adding a liquid fabric softener to the final rinse (rinse-cycle softener) results in laundry that feels softer.","Machine washing puts great mechanical stress on textiles, so adding a liquid fabric softener to the final rinse results in laundry that feels softer.",information_extraction
The former Chairman of Tata Sons died in road accident  en route  from where?,,Ahmedabad to Mumbai,open_qa
"Please classify each of the following animals as mammal, amphibian, or fish: elk, frog, dog, cat, newt, and human.",,Newt and frog are amphibians. The rest of the animals are mammals. You did not provide any fish in your question.,classification
"Classify the following numbers as 'prime' or 'composite' - 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16.",,"'prime', 'prime', 'composite', 'prime', 'composite', 'prime', 'composite', 'composite', 'composite', 'prime', 'composite', 'prime', 'composite', 'composite', 'composite'.",classification
Summarize the rulers of the territory of Albania in this time period.,"The Illyrian Ardiaei tribe, centred in Montenegro, ruled over most of the territory of Albania. Their Ardiaean Kingdom reached its greatest extent under King Agron, the son of Pleuratus II. Agron extended his rule over other neighbouring tribes as well. Following Agron's death in 230 BC, his wife, Teuta, inherited the Ardiaean kingdom. Teuta's forces extended their operations further southwards to the Ionian Sea. In 229 BC, Rome declared war on the kingdom for extensively plundering Roman ships. The war ended in Illyrian defeat in 227 BC. Teuta was eventually succeeded by Gentius in 181 BC. Gentius clashed with the Romans in 168 BC, initiating the Third Illyrian War. The conflict resulted in Roman conquest of the region by 167 BC. The Romans split the region into three administrative divisions.","King Agron ruled the territory of Albania, followed by his wife Teuta from 230 BC, and then Gentius from 181 BC. The Romans conquered the region in 167 BC.",summarization
What is cloud computing in simple terms?,,"In simple terms cloud computing allows you to use preconfigured hardware devices and software services managed by somebody else on internet. Most cases you pay only for the resources you use and it is very easy to procure more as you need more services. 
Cloud computing makes it easy to setup the technology infrastructure at a low cost and scale as you grow.",general_qa
What is one year?,,One Earth Year is the time it takes for one revolution of the Earth around the sun.,open_qa
What types of sport fish do most anglers target in New England?,,"There are many types of game fish that anglers target in New England. Fresh water anglers generally fish for large mouth bass, small mouth bass and various types of trout.  Children often learn to fish by catching sunfish.  Fishing in the ocean in New England offers many additional options to target including Striped Bass, Black Sea Bass, Bluefish, as well as much larger game fish like Bluefin Tuna, Albacore, False Albacore, Bonito, and many species of shark. Each season produces different fish, be sure to check with your local fish and game authority to ensure you have the proper license and which species are able to be targeted.",general_qa
Give me a bunch of ways I can keep my house cool in the summer,,"- Install whole house AC that's integrated with your heating system
- Buy an in-window unit to keep an individual room cool
- Install a whole house fan that pulls in cool air from open windows at night into living area and exhausts the hot air into the attic
- Place fans throughout the house but place them in front of open windows at night to pull in cool air
- Install a swamp cooler, it's sometimes cheaper than installing a full AC system
- Make sure to close windows and curtains in the morning hours after the house cools down over night
- Get a cooler filled with ice and place a fan into it forcing cold air into the room.  The ice will melt fast so be ready to refill often.  Not the most efficient but in a pinch it can help",brainstorming
